Numero,Titulo,Autor,Co-autor,Ano-de-Publicacao,Titulo-original,Tradutor,Co-tradutor,Ano-de-edicao,alias,Autor2-alias,Tradutor1-alias,Tradutor2-alias,Titulo-link,Capa,pags,Capa-link,Serie,anterior,seguinte,Livro-isfdb,Livro-isfdb-original,Livro-bibliowiki
1,Perdidos na Estratosfera,A M Low,,1953,Adrift in the Stratosphere,Correia Ribeiro,,1937,A-M-Low,,Correia-Ribeiro,,1-Perdidos-na-Estratosfera,Cândido Costa Pinto,163,Candido-Costa-Pinto,,,2-O-Estranho-Mundo-de-Kilsona,http://www.isfdb.org/cgi-bin/pl.cgi?373400,http://www.isfdb.org/cgi-bin/title.cgi?1106089,/index.php/Perdidos_na_Estratosfera
2,O Estranho Mundo de Kilsona,Festus Pragnell,,1954,The Green Man of Graypec,José da Natividade Gaspar,,1935,Festus-Pragnell,,Jose-da-Natividade-Gaspar,,2-O-Estranho-Mundo-de-Kilsona,Cândido Costa Pinto,212,Candido-Costa-Pinto,,1-Perdidos-na-Estratosfera,3-A-Ultima-Cidade-da-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373262,http://www.isfdb.org/cgi-bin/title.cgi?636481,/index.php/O_Estranho_Mundo_de_Kilsona
3,A Última Cidade da Terra,Edmond Hamilton,,1954,The City at World's End,José da Natividade Gaspar,,1951,Edmond-Hamilton,,Jose-da-Natividade-Gaspar,,3-A-Ultima-Cidade-da-Terra,Cândido Costa Pinto,234,Candido-Costa-Pinto,,2-O-Estranho-Mundo-de-Kilsona,4-A-Nave-Sideral,http://www.isfdb.org/cgi-bin/pl.cgi?373263,http://www.isfdb.org/cgi-bin/title.cgi?20170,/index.php/A_%C3%9Altima_Cidade_da_Terra
4,A Nave Sideral,Murray Leinster,,1954,The Last Space Ship,Fernando de Castro Ferro,,1949,Murray-Leinster,,Fernando-de-Castro-Ferro,,4-A-Nave-Sideral,Cândido Costa Pinto,196,Candido-Costa-Pinto,,3-A-Ultima-Cidade-da-Terra,5-O-Universo-Vivo,http://www.isfdb.org/cgi-bin/pl.cgi?373264,http://www.isfdb.org/cgi-bin/title.cgi?38358,/index.php/A_Nave_Sideral
5,O Universo Vivo,Jimmy Guieu,,1954,L'Univers Vivant,Rui Bandeira,,1953,Jimmy-Guieu,,Rui-Bandeira,,5-O-Universo-Vivo,Cândido Costa Pinto,149,Candido-Costa-Pinto,,4-A-Nave-Sideral,6-O-Mundo-Marciano,http://www.isfdb.org/cgi-bin/pl.cgi?373403,http://www.isfdb.org/cgi-bin/title.cgi?1376500,/index.php/O_Universo_Vivo
6,O Mundo Marciano,Ray Bradbury,,1954,The Martian Chronicles,Fernando de Castro Ferro,,1950,Ray-Bradbury,,Fernando-de-Castro-Ferro,,6-O-Mundo-Marciano,Cândido Costa Pinto,243,Candido-Costa-Pinto,,5-O-Universo-Vivo,7-Inconstancia-do-Amanha,http://www.isfdb.org/cgi-bin/pl.cgi?373265,http://www.isfdb.org/cgi-bin/title.cgi?21571,/index.php/O_Mundo_Marciano
7,Inconstância do Amanhã,F G Rayer,,1954,Tomorrow Sometimes Comes,Fernando Moutinho,,1951,F-G-Rayer,,Fernando-Moutinho,,7-Inconstancia-do-Amanha,Cândido Costa Pinto,267,Candido-Costa-Pinto,,6-O-Mundo-Marciano,8-O-Veneno-de-Marte,http://www.isfdb.org/cgi-bin/pl.cgi?373266,http://www.isfdb.org/cgi-bin/title.cgi?852143,/index.php/Inconst%C3%A2ncia_do_Amanh%C3%A3
8,O Veneno de Marte,Paul French,,1954,David Starr Space Ranger,Fernando de Castro Ferro,,1952,Paul-French,,Fernando-de-Castro-Ferro,,8-O-Veneno-de-Marte,Cândido Costa Pinto,176,Candido-Costa-Pinto,Lucky Starr,7-Inconstancia-do-Amanha,9-Missao-Interplanetaria,http://www.isfdb.org/cgi-bin/pl.cgi?373267,http://www.isfdb.org/cgi-bin/title.cgi?9564,/index.php/O_Veneno_de_Marte
9,Missão Interplanetária,A E Van Vogt,,1954,The Voyage of the Space Beagle,Fernando Moutinho,,1950,A-E-Van-Vogt,,Fernando-Moutinho,,9-Missao-Interplanetaria,Cândido Costa Pinto,284,Candido-Costa-Pinto,Space Beagle,8-O-Veneno-de-Marte,10-Exploradores-do-Universo,http://www.isfdb.org/cgi-bin/pl.cgi?373268,http://www.isfdb.org/cgi-bin/title.cgi?8401,/index.php/Miss%C3%A3o_Interplanet%C3%A1ria
10,Exploradores do Universo,Jon J Deegan,,1954,Antro the Life Giver,Fernando de Castro Ferro,,1953,Jon-J-Deegan,,Fernando-de-Castro-Ferro,,10-Exploradores-do-Universo,Cândido Costa Pinto,173,Candido-Costa-Pinto,,9-Missao-Interplanetaria,11-O-Homem-que-Vendeu-a-Lua,http://www.isfdb.org/cgi-bin/pl.cgi?373269,http://www.isfdb.org/cgi-bin/title.cgi?867889,/index.php/Exploradores_do_Universo
