Autor,alias
A M Low,A-M-Low
Jon J Deegan,Jon-J-Deegan
vários,varios
Fred Hoyle,Fred-Hoyle
Karel Capek,Karel-Capek
Martin Caidin,Martin-Caidin
Martin Caidin,Martin-Caidin
Clifford D Simak,Clifford-D-Simak
Charles Eric Maine,Charles-Eric-Maine
Stefan Wul,Stefan-Wul
Ray Bradbury,Ray-Bradbury
J G Ballard,J-G-Ballard
Robert A Heinlein,Robert-A-Heinlein
Poul Anderson,Poul-Anderson
Robert A Heinlein,Robert-A-Heinlein
Clifford D Simak,Clifford-D-Simak
Murray Leinster,Murray-Leinster
A E Van Vogt,A-E-Van-Vogt
J G Ballard,J-G-Ballard
Charles Eric Maine,Charles-Eric-Maine
Clifford D Simak,Clifford-D-Simak
Murray Leinster,Murray-Leinster
Robert A Heinlein,Robert-A-Heinlein
Bryan Berry,Bryan-Berry
Robert A Heinlein,Robert-A-Heinlein
John Wyndham,John-Wyndham
Edmund Cooper,Edmund-Cooper
Clifford D Simak,Clifford-D-Simak
Robert A Heinlein,Robert-A-Heinlein
Robert A Heinlein,Robert-A-Heinlein
Poul Anderson,Poul-Anderson
A E Van Vogt,A-E-Van-Vogt
Murray Leinster,Murray-Leinster
Robert A Heinlein,Robert-A-Heinlein
Curt Siodmak,Curt-Siodmak
Paul W Fairman,Paul-W-Fairman
Clifford D Simak,Clifford-D-Simak
Clifford D Simak,Clifford-D-Simak
Robert A Heinlein,Robert-A-Heinlein
Edmond Hamilton,Edmond-Hamilton
Murray Leinster,Murray-Leinster
A E Van Vogt,A-E-Van-Vogt
Edmund Cooper,Edmund-Cooper
Robert A Heinlein,Robert-A-Heinlein
Martin Caidin,Martin-Caidin
Martin Caidin,Martin-Caidin
Roy Sheldon,Roy-Sheldon
Charles Eric Maine,Charles-Eric-Maine
Clifford D Simak,Clifford-D-Simak
Clifford D Simak,Clifford-D-Simak
Murray Leinster,Murray-Leinster
Poul Anderson,Poul-Anderson
Robert M Williams,Robert-M-Williams
Poul Anderson,Poul-Anderson
Lloyd Biggle Jr,Lloyd-Biggle-Jr
Clifford D Simak,Clifford-D-Simak
Keith Laumer,Keith-Laumer
E C Tubb,E-C-Tubb
E C Tubb,E-C-Tubb
Frederik Pohl,Frederik-Pohl
Murray Leinster,Murray-Leinster
A E Van Vogt,A-E-Van-Vogt
Keith Roberts,Keith-Roberts
Frederik Pohl,Frederik-Pohl
A E Van Vogt,A-E-Van-Vogt
Murray Leinster,Murray-Leinster
Kurt Vonnegut,Kurt-Vonnegut
Kurt Vonnegut,Kurt-Vonnegut
Eric Frank Russell,Eric-Frank-Russell
Keith Laumer,Keith-Laumer
Philip José Farmer,Philip-Jose-Farmer
Arthur C Clarke,Arthur-C-Clarke
Clifford D Simak,Clifford-D-Simak
Murray Leinster,Murray-Leinster
Edmund Cooper,Edmund-Cooper
Alexei Panshin,Alexei-Panshin
Frederik Pohl,Frederik-Pohl
Lloyd Biggle Jr,Lloyd-Biggle-Jr
Walter M Miller Jr,Walter-M-Miller-Jr
J Leslie Mitchell,J-Leslie-Mitchell
Walter M Miller Jr,Walter-M-Miller-Jr
Walter M Miller Jr,Walter-M-Miller-Jr
Edmund Cooper,Edmund-Cooper
Fred Hoyle,Fred-Hoyle
Lloyd Biggle Jr,Lloyd-Biggle-Jr
James White,James-White
Fred Hoyle,Fred-Hoyle
A E Van Vogt,A-E-Van-Vogt
A E Van Vogt,A-E-Van-Vogt
Frederik Pohl,Frederik-Pohl
Ray Bradbury,Ray-Bradbury
John Brunner,John-Brunner
James White,James-White
Robert A Heinlein,Robert-A-Heinlein
Robert A Heinlein,Robert-A-Heinlein
Clifford D Simak,Clifford-D-Simak
Frederik Pohl,Frederik-Pohl
Poul Anderson,Poul-Anderson
Curt Siodmak,Curt-Siodmak
Frederik Pohl,Frederik-Pohl
Frederik Pohl,Frederik-Pohl
Charles Eric Maine,Charles-Eric-Maine
Robert A Heinlein,Robert-A-Heinlein
E C Tubb,E-C-Tubb
Lan Wright,Lan-Wright
Philip E High,Philip-E-High
Frederik Pohl,Frederik-Pohl
George Zebrowski,George-Zebrowski
Ray Cummings,Ray-Cummings
L Sprague de Camp,L-Sprague-de-Camp
Theodore Sturgeon,Theodore-Sturgeon
Algis Budrys,Algis-Budrys
Festus Pragnell,Festus-Pragnell
Robert A Heinlein,Robert-A-Heinlein
Fred Saberhagen,Fred-Saberhagen
Fred Saberhagen,Fred-Saberhagen
John Brunner,John-Brunner
John Rackam,John-Rackam
Hal Clement,Hal-Clement
John Brunner,John-Brunner
Clifford D Simak,Clifford-D-Simak
Philip K Dick,Philip-K-Dick
James White,James-White
Frederik Pohl,Frederik-Pohl
Isaac Asimov,Isaac-Asimov
Clifford D Simak,Clifford-D-Simak
Robert A Heinlein,Robert-A-Heinlein
Keith Laumer,Keith-Laumer
Stuart J Byrne,Stuart-J-Byrne
James White,James-White
Charles Eric Maine,Charles-Eric-Maine
Murray Leinster,Murray-Leinster
Robert A Heinlein,Robert-A-Heinlein
Robert A Heinlein,Robert-A-Heinlein
Robert A Heinlein,Robert-A-Heinlein
Pierre Versins,Pierre-Versins
James White,James-White
John Brunner,John-Brunner
Curt Siodmak,Curt-Siodmak
James White,James-White
Ray Bradbury,Ray-Bradbury
A E Van Vogt,A-E-Van-Vogt
Robert A Heinlein,Robert-A-Heinlein
Clifford D Simak,Clifford-D-Simak
Fredric Brown,Fredric-Brown
A E Van Vogt,A-E-Van-Vogt
A E Van Vogt,A-E-Van-Vogt
J G Ballard,J-G-Ballard
Frederik Pohl,Frederik-Pohl
Edmond Hamilton,Edmond-Hamilton
Clifford D Simak,Clifford-D-Simak
A E Van Vogt,A-E-Van-Vogt
John Brunner,John-Brunner
Robert A Heinlein,Robert-A-Heinlein
Edmond Hamilton,Edmond-Hamilton
Clifford D Simak,Clifford-D-Simak
Arthur C Clarke,Arthur-C-Clarke
Roger Sorez,Roger-Sorez
John Brunner,John-Brunner
Alfred Bester,Alfred-Bester
Clifford D Simak,Clifford-D-Simak
Robert A Heinlein,Robert-A-Heinlein
Robert A Heinlein,Robert-A-Heinlein
Robert A Heinlein,Robert-A-Heinlein
Ray Bradbury,Ray-Bradbury
A E Van Vogt,A-E-Van-Vogt
Guy Snyder,Guy-Snyder
Ben Bova,Ben-Bova
Jerry Sohl,Jerry-Sohl
C M Kornbluth,C-M-Kornbluth
Pierre Barbet,Pierre-Barbet
Fred Hoyle,Fred-Hoyle
A E Van Vogt,A-E-Van-Vogt
Ray Bradbury,Ray-Bradbury
Cleve Cartmill,Cleve-Cartmill
Edmond Hamilton,Edmond-Hamilton
John D MacDonald,John-D-MacDonald
Pierre Barbet,Pierre-Barbet
E E Doc Smith,E-E-Doc-Smith
Arthur C Clarke,Arthur-C-Clarke
Ray Bradbury,Ray-Bradbury
Ray Cummings,Ray-Cummings
Clifford D Simak,Clifford-D-Simak
Philip José Farmer,Philip-Jose-Farmer
Stanislaw Lem,Stanislaw-Lem
E E Doc Smith,E-E-Doc-Smith
Lester del Rey,Lester-del-Rey
Clifford D Simak,Clifford-D-Simak
Philip José Farmer,Philip-Jose-Farmer
Robert A Heinlein,Robert-A-Heinlein
Albert Crémieux,Albert-Cremieux
E E Doc Smith,E-E-Doc-Smith
Randall Garrett,Randall-Garrett
Philip José Farmer,Philip-Jose-Farmer
Philip José Farmer,Philip-Jose-Farmer
Clifford D Simak,Clifford-D-Simak
E E Doc Smith,E-E-Doc-Smith
Ursula K LeGuin,Ursula-K-LeGuin
Isaac Asimov,Isaac-Asimov
Clifford D Simak,Clifford-D-Simak
